Train Number,,,37811,37813,37815,37817,37819,37911,37913,37915,37921,37927,37211,37215,37223,37235,37239,37651,37653,37249,37857,37657,37855,37289,37821,37823,37825,37827,37829,37831,37833,37835,37837,37839,37841,37843,37845,37847,37849,37851,37853,37917,37919,37923,37925,37201,37213,37217,37219,37221,37225,37227,37229,37231,37233,37237,37241,37243,37245,37247,37251,37253,37255,37257,37259,37261,37263,37265,37267,37269,37271,37273,37275,37277,37279,37281,37283,37285,37287,37611,37655,37291
Running Days,,,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,M Tu W Th F Sa,Daily,Daily,Daily,M Tu W Th F Sa,Daily,Daily,Daily,Su M Tu W Th F,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Sa,Su M Tu W Th F,Daily,Daily,M Tu W Th F Sa,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,M Tu W Th F Sa,Daily,M Tu W Th F Sa,Daily,Daily,M Tu W Th F Sa,Daily,M Tu W Th F Sa,Daily,M Tu W Th F Sa,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,M Tu W Th F Sa,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily
0,HWH/Howrah Junction (23 PFs),"a
d",4:15,5:00,5:25,6:20,6:58,5:38,8:00,10:00,17:05,20:25,4:47,6:26,8:45,10:45,11:15,8:40,11:31,13:25,22:10,13:43,20:47,23:15,8:05,9:00,10:05,11:25,12:30,14:20,14:45,14:46,15:30,16:45,17:30,17:55,18:05,18:35,19:00,19:10,19:55,12:10,14:30,18:00,19:25,18:55,5:16,7:05,7:35,8:20,9:10,9:25,9:50,10:15,10:30,10:55,12:00,12:20,12:55,13:15,13:33,14:40,15:00,15:35,16:16,16:55,17:47,18:15,18:20,18:45,19:30,19:40,20:00,21:05,21:10,21:30,21:50,22:20,22:30,11:42,12:45,23:45
4,LLH/Liluah (5 PFs),"a
d","04:23
04:24","05:08
05:09",,"06:28
06:29","07:06
07:07","05:45
05:46","08:08
08:09",,,"20:33
20:34","04:55
04:56","06:34
06:35","08:53
08:54","10:53
10:54","11:23
11:24",,"11:39
11:40","13:33
13:34","22:18
22:19","13:51
13:52","20:55
20:56","23:23
23:24","08:13
08:14","09:08
09:09","10:13
10:14","11:33
11:34","12:38
12:39",,"14:53
14:54",,,,,,,,,"19:18
19:19","20:03
20:04","12:18
12:19",,,,"19:03
19:04","05:24
05:25","07:13
07:14","07:43
07:44","08:28
08:29","09:18
09:19","09:33
09:34","09:58
09:59","10:23
10:24","10:38
10:39","11:03
11:04","12:08
12:09","12:28
12:29","13:03
13:04","13:23
13:24","13:41
13:42","14:48
14:49","15:08
15:09","15:43
15:44","16:24
16:25","17:03
17:04","17:55
17:56","18:23
18:24","18:28
18:29","18:53
18:54","19:38
19:39","19:48
19:49","20:08
20:09","21:13
21:14","21:18
21:19","21:38
21:39","21:58
21:59","22:28
22:29","22:38
22:39","11:50
11:51","12:53
12:54","23:53
23:54"
6,BEQ/Belur (5 PFs),"a
d","04:26
04:27","05:11
05:12",,"06:31
06:32","07:09
07:10","05:48
05:49","08:11
08:12",,,"20:36
20:37","04:58
04:59","06:37
06:38","08:56
08:57","10:56
10:57","11:26
11:27",,"11:42
11:43","13:36
13:37","22:21
22:22","13:54
13:55","20:58
20:59","23:26
23:27","08:16
08:17","09:11
09:12","10:16
10:17","11:36
11:37","12:41
12:42",,"14:56
14:57",,,,,,,,,"19:21
19:22",,"12:21
12:22",,,,"19:06
19:07","05:27
05:28","07:16
07:17","07:46
07:47","08:31
08:32","09:21
09:22","09:36
09:37","10:01
10:02","10:26
10:27","10:41
10:42","11:06
11:07","12:11
12:12","12:31
12:32","13:06
13:07","13:26
13:27","13:44
13:45","14:51
14:52","15:11
15:12","15:46
15:47","16:27
16:28","17:06
17:07","17:58
17:59","18:26
18:27","18:31
18:32","18:56
18:57","19:41
19:42","19:51
19:52","20:11
20:12","21:16
21:17","21:21
21:22","21:41
21:42","22:01
22:02","22:31
22:32","22:41
22:42","11:53
11:54","12:56
12:57","23:56
23:57"
8,BLY/Bally (6 PFs),"a
d","04:29
04:30","05:14
05:15","05:37
05:38","06:34
06:35","07:12
07:13","05:51
05:52","08:14
08:15",,"17:18
17:19","20:39
20:40","05:01
05:02","06:40
06:41","08:59
09:00","10:59
11:00","11:29
11:30",,"11:45
11:46","13:39
13:40","22:23
22:24","13:57
13:58","21:01
21:02","23:29
23:30","08:19
08:20","09:14
09:15","10:19
10:20","11:39
11:40","12:44
12:45","14:32
14:33","14:59
15:00",,,,,,"18:18
18:19",,,"19:24
19:25",,"12:24
12:25",,,,"19:09
19:10","05:30
05:31","07:19
07:20","07:48
07:49","08:34
08:35","09:24
09:25","09:39
09:40","10:04
10:05","10:29
10:30","10:44
10:45","11:09
11:10","12:14
12:15","12:34
12:35","13:09
13:10","13:29
13:30","13:47
13:48","14:54
14:55","15:14
15:15","15:49
15:50","16:30
16:31","17:09
17:10","18:01
18:02","18:29
18:30","18:34
18:35","18:59
19:00","19:44
19:45","19:54
19:55","20:14
20:15","21:19
21:20","21:24
21:25","21:45
21:46","22:04
22:05","22:34
22:35","22:44
22:45","11:56
11:57","12:59
13:00","23:59
00:01"
10,UPA/Uttarpara (3 PFs),"a
d","04:32
04:33","05:17
05:18","05:39
05:40","06:37
06:38","07:15
07:16","05:54
05:55","08:17
08:18",,,"20:42
20:43","05:04
05:05","06:43
06:44","09:02
09:03","11:03
11:04","11:32
11:33","08:54
08:55","11:49
11:50","13:42
13:43","22:27
22:28","14:00
14:01","21:04
21:05","23:32
23:33","08:22
08:23","09:17
09:18","10:22
10:23","11:42
11:43","12:47
12:48","14:35
14:36","15:03
15:04",,,"16:58
16:59",,,,,,"19:27
19:28","20:10
20:11","12:27
12:28",,,,"19:12
19:13","05:33
05:34","07:22
07:23","07:53
07:54","08:37
08:38","09:27
09:28","09:42
09:43","10:07
10:08","10:32
10:33","10:47
10:48","11:13
11:14","12:17
12:18","12:37
12:38","13:12
13:13","13:32
13:33","13:50
13:51","14:57
14:58","15:17
15:18","15:52
15:53","16:33
16:34","17:12
17:13","18:04
18:05","18:32
18:33","18:37
18:38","19:02
19:03","19:47
19:48","19:57
19:58","20:17
20:18","21:22
21:23","21:27
21:28","21:47
21:48","22:08
22:09","22:37
22:38","22:47
22:48","11:59
12:00","13:02
13:03","00:01
00:02"
11,HMZ/Hind Motor (3 PFs),"a
d","04:34
04:35","05:19
05:20","05:42
05:43","06:39
06:40","07:17
07:18","05:56
05:57","08:19
08:20",,,"20:44
20:45","05:06
05:07","06:45
06:46","09:04
09:05","11:05
11:06","11:34
11:35",,"11:51
11:52","13:44
13:45","22:29
22:30","14:02
14:03","21:06
21:07","23:34
23:35","08:24
08:25","09:19
09:20","10:24
10:25","11:44
11:45","12:49
12:50","14:37
14:38","15:05
15:06",,,,,,,,,"19:29
19:30",,"12:29
12:30",,,,"19:14
19:15","05:35
05:36","07:24
07:25","07:55
07:56","08:39
08:40","09:29
09:30","09:44
09:45","10:09
10:10","10:34
10:35","10:49
10:50","11:15
11:16","12:19
12:20","12:39
12:40","13:14
13:15","13:34
13:35","13:52
13:53","14:59
15:00","15:19
15:20","15:54
15:55","16:35
16:36","17:14
17:15","18:06
18:07","18:34
18:35","18:39
18:40","19:04
19:05","19:49
19:50","19:59
20:00","20:19
20:20","21:24
21:25","21:29
21:30","21:49
21:50","22:10
22:11","22:39
22:40","22:49
22:50","12:01
12:02","13:04
13:05","00:04
00:05"
13,KOG/Konnagar (3 PFs),"a
d","04:37
04:38","05:22
05:23",,"06:42
06:43","07:20
07:21","05:59
06:00","08:22
08:23",,"17:26
17:27","20:47
20:48","05:09
05:10","06:48
06:49","09:07
09:08","11:08
11:09","11:37
11:38",,"11:54
11:55","13:47
13:48","22:32
22:33","14:05
14:06","21:09
21:10","23:37
23:38","08:27
08:28","09:22
09:23","10:27
10:28","11:47
11:48","12:52
12:53",,"15:08
15:09",,,,,,"18:23
18:24",,,"19:32
19:33","20:13
20:14","12:32
12:33",,,,"19:17
19:18","05:38
05:39","07:27
07:28","07:58
07:59","08:42
08:43","09:32
09:33","09:47
09:48","10:12
10:13","10:37
10:38","10:52
10:53","11:18
11:19","12:22
12:23","12:42
12:43","13:17
13:18","13:37
13:38","13:55
13:56","15:02
15:03","15:22
15:23","15:57
15:58","16:38
16:39","17:17
17:18","18:09
18:10","18:37
18:38","18:42
18:43","19:07
19:08","19:52
19:53","20:02
20:03","20:22
20:23","21:27
21:28","21:32
21:33","21:52
21:53","22:13
22:14","22:42
22:43","22:52
22:53","12:04
12:05","13:07
13:08","00:07
00:08"
16,RIS/Rishra (4 PFs),"a
d","04:40
04:41","05:25
05:26",,"06:45
06:46","07:23
07:24","06:02
06:03","08:25
08:26",,,"20:50
20:51","05:12
05:13","06:51
06:52","09:10
09:11","11:11
11:12","11:40
11:41",,"11:58
11:59","13:51
13:52","22:35
22:36","14:08
14:09","21:12
21:13","23:40
23:41","08:30
08:31","09:25
09:26","10:30
10:31","11:53
11:54","12:55
12:56",,"15:11
15:12",,,"17:05
17:06",,,"18:26
18:27",,,"19:35
19:36",,"12:35
12:36",,,,"19:20
19:21","05:41
05:42","07:30
07:31","08:04
08:05","08:45
08:46","09:36
09:37","09:53
09:54","10:15
10:16","10:40
10:41","10:57
10:58","11:21
11:22","12:25
12:26","12:46
12:47","13:20
13:21","13:40
13:41","13:58
13:59","15:07
15:08","15:25
15:26","16:00
16:01","16:41
16:42","17:21
17:22","18:12
18:13","18:40
18:41","18:45
18:46","19:10
19:11","19:55
19:56","20:05
20:06","20:25
20:26","21:30
21:31","21:35
21:36","21:55
21:56","22:16
22:17","22:45
22:46","22:55
22:56","12:07
12:08","13:10
13:11","00:10
00:11"
